,Timestamp,Email address,Google_Score,Name,IITP webmail,Phone (10 digit only),Roll Number,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,Score_after_negative_marking,Status_Answer
0,07-07-2021 14:10,dsdeeptishakya777@gmail.com,112.0/112,Deepti Shakya,deepti_1921cs14@iitp.ac.in,8377094336,ANSWER,Option A,Option D,Option B,Option C,Option B,Option C,Option D,Option D,Option A,Option A,Option C,Option A,Option D,Option D,Option B,Option D,Option C,Option D,Option B,Option D,Option A,Option A,Option A,Option D,Option D,Option A,Option C,Option D,112.0 / 112,"(28.0 , 0.0 , 0)"
1,07-08-2021 12:18,ellen_booth4939@atink.com,44.0/112,Ellen Booth,ellen_booth9706@iitp.ac.in,7785862435,1401ME61,Option A,Option D,Option B,Option C,Option B,Option B,Option A,Option B,,Option C,Option C,Option B,Option B,Option B,Option B,Option D,Option C,Option D,Option C,Option B,Option D,Option B,Option B,Option C,Option B,Option A,Option A,Option B,12.0 / 112,"(11.0 , 16.0 , 1)"
2,07-08-2021 12:18,rachael_selby9175@acrit.org,80.0/112,Rachael Selby,rachael_selby7861@iitp.ac.in,9984503025,1401CS40,Option A,Option D,Option B,Option C,Option B,Option C,Option A,Option D,Option B,Option A,Option C,Option C,Option D,Option D,Option B,Option B,Option C,Option D,Option D,Option B,Option A,Option B,Option A,Option D,Option B,Option A,Option C,Option D,64.0 / 112,"(20.0 , 8.0 , 0)"
3,07-08-2021 12:19,rowan_knott5318@deons.tech,20.0/112,Rowan Knott,rowan_knott132@iitp.ac.in,9799319607,1401EE17,Option A,,Option C,,,Option D,Option D,,,,Option A,,Option C,,Option A,Option A,Option C,Option C,,Option C,Option B,Option A,Option B,Option B,,Option A,,Option A,-4.0 / 112,"(5.0 , 12.0 , 11)"
4,07-08-2021 12:19,abdul_rowe197@muall.tech,32.0/112,Abdul Rowe,abdul_rowe997@iitp.ac.in,9131454766,1401ME10,Option D,Option D,Option B,Option D,Option B,Option B,Option D,,,Option A,Option B,,Option D,Option C,Option A,,,Option D,Option C,Option B,Option B,,Option B,,Option C,Option C,Option B,Option D,6.0 / 112,"(8.0 , 13.0 , 7)"
5,07-08-2021 12:19,henry_spencer7982@dionrab.com,36.0/112,Henry Spencer,henry_spencer2064@iitp.ac.in,7378293221,1401ME69,Option A,Option D,Option B,Option C,,Option D,Option D,Option C,,Option D,Option B,Option D,Option C,Option C,Option B,Option A,Option B,Option D,,,,Option B,,Option C,,Option A,Option B,Option D,12.0 / 112,"(9.0 , 12.0 , 7)"
6,07-08-2021 12:19,livia_ianson9590@famism.biz,80.0/112,Livia Ianson,livia_ianson3962@iitp.ac.in,9518769455,1401CS31,Option D,Option D,Option B,Option C,Option B,Option C,Option D,,Option A,Option A,Option C,Option A,Option D,Option D,Option D,Option C,Option C,Option D,Option B,Option B,Option A,Option B,Option A,Option D,Option B,Option C,Option C,Option D,66.0 / 112,"(20.0 , 7.0 , 1)"
7,07-08-2021 12:19,charlize_driscoll1025@corti.com,72.0/112,Charlize Driscoll,charlize_driscoll3045@iitp.ac.in,6304699592,1401CS15,Option A,,,Option C,,Option C,Option D,Option D,,,Option C,Option A,Option D,Option D,Option B,Option D,Option C,Option D,,,,Option A,Option A,Option D,Option B,Option A,Option C,Option B,68.0 / 112,"(18.0 , 2.0 , 8)"
8,07-08-2021 12:19,danielle_ellison9701@dionrab.com,28.0/112,Danielle Ellison,danielle_ellison1492@iitp.ac.in,8171611219,1401EE32,Option D,Option D,Option A,Option C,Option A,Option C,,,,Option B,Option A,Option A,,,,Option A,Option C,Option D,Option A,Option C,Option B,,Option A,,Option A,,,Option B,6.0 / 112,"(7.0 , 11.0 , 10)"
9,07-08-2021 12:19,chadwick_john5137@zorer.org,84.0/112,Chadwick John,chadwick_john1030@iitp.ac.in,8922824586,1401CE04,Option A,,Option B,Option C,,Option C,Option D,Option D,,Option A,Option C,Option A,Option D,,Option B,,Option C,Option D,Option B,Option D,Option A,,Option A,Option D,Option D,Option A,Option C,Option B,82.0 / 112,"(21.0 , 1.0 , 6)"
